fold,period_idx,date,split,id,weight,p_hat,c_exec,implied,next_implied,edge
44,44,2025-06-16 00:00:00+00:00,train,540843,0.0,0.5098533643669458,0.51,0.51,0.51,-0.0001466356330541707
44,44,2025-06-16 00:00:00+00:00,train,540844,0.0,0.4939452035831481,0.494,0.494,0.494,-5.4796416851909946e-05
45,45,2025-06-17 00:00:00+00:00,train,540819,0.0,0.4851972625547334,0.485,0.485,0.485,0.0001972625547334017
45,45,2025-06-17 00:00:00+00:00,train,540843,0.0,0.5098567694454119,0.51,0.51,0.51,-0.00014323055458809186
45,45,2025-06-17 00:00:00+00:00,train,540844,0.0,0.4939458569984192,0.494,0.494,0.494,-5.4143001580797545e-05
46,46,2025-06-18 00:00:00+00:00,train,540819,0.0,0.48519336943558544,0.485,0.485,0.485,0.00019336943558545538
46,46,2025-06-18 00:00:00+00:00,train,540843,0.0,0.5098600226095855,0.51,0.51,0.51,-0.00013997739041449186
46,46,2025-06-18 00:00:00+00:00,train,540844,0.0,0.4939464990102481,0.494,0.494,0.494,-5.350098975187567e-05
47,47,2025-06-19 00:00:00+00:00,train,540819,0.0,0.485189629750146,0.485,0.485,0.485,0.00018962975014602534
47,47,2025-06-19 00:00:00+00:00,train,540843,0.0,0.5098631336944377,0.51,0.51,0.51,-0.00013686630556231094
47,47,2025-06-19 00:00:00+00:00,train,540844,0.0,0.4939471295909169,0.494,0.494,0.494,-5.287040908308338e-05
48,48,2025-06-20 00:00:00+00:00,train,540819,0.0,0.485186034474143,0.485,0.485,0.485,0.00018603447414300422
48,48,2025-06-20 00:00:00+00:00,train,540843,0.0,0.5098661117099955,0.51,0.51,0.51,-0.00013388829000449132
48,48,2025-06-20 00:00:00+00:00,train,540844,0.0,0.49394774875898634,0.494,0.494,0.494,-5.2251241013656635e-05
49,49,2025-06-21 00:00:00+00:00,train,540819,0.0,0.48518257528521036,0.485,0.485,0.485,0.00018257528521037347
49,49,2025-06-21 00:00:00+00:00,train,540843,0.0,0.5098689649256388,0.51,0.51,0.51,-0.00013103507436118544
49,49,2025-06-21 00:00:00+00:00,train,540844,0.0,0.4939483565714351,0.494,0.494,0.494,-5.16434285648959e-05
50,50,2025-06-22 00:00:00+00:00,train,540819,0.0,0.48517924449537075,0.485,0.485,0.485,0.00017924449537076725
50,50,2025-06-22 00:00:00+00:00,train,540843,0.0,0.5098717009443016,0.51,0.51,0.51,-0.00012829905569844424
