fold,id,weight,p_hat,c_exec,implied,edge
1,558938,0.0,0.042066030483265245,0.0885,0.0885,-0.04643396951673475
1,562802,0.0,0.06667311354500788,0.845,0.845,-0.7783268864549922
1,553864,0.0,0.04876559617142149,0.005,0.005,0.04376559617142149
1,558946,0.0,0.04249424429212856,0.0215,0.0215,0.02099424429212856
1,559655,0.0,0.037664411914327636,0.0365,0.0365,0.0011644119143276385
1,561240,0.0,0.028339825006078803,0.0095,0.0095,0.0188398250060788
1,561244,0.0,0.03020126359381486,0.0085,0.0085,0.02170126359381486
1,553877,0.0,0.042748785960418326,0.001,0.0005,0.041748785960418325
1,553860,1.8055617633188184e-05,0.05789722675358589,0.0065,0.0065,0.05139722675358589
1,569359,0.0005937648784401694,0.0969734374962636,0.001,0.0005,0.0959734374962636
1,564212,0.000473731893068716,0.10218217697614798,0.0155,0.0155,0.08668217697614798
1,559656,0.0,0.0329531764234789,0.0125,0.0125,0.020453176423478898
1,561984,0.0,0.028701564081152042,0.0085,0.0085,0.02020156408115204
1,558957,0.0,0.03072067734263007,0.0015,0.0015,0.029220677342630067
1,558940,0.0,0.04486309308564163,0.0785,0.0785,-0.03363690691435837
1,561998,0.0,0.035369446987023746,0.0115,0.0115,0.023869446987023746
1,569367,0.00048318327251590983,0.08840710884086345,0.001,0.0005,0.08740710884086345
1,553848,0.00033259157698781546,0.08624783210358888,0.0105,0.0105,0.07574783210358889
1,553838,0.0,0.07567563122061796,0.0615,0.0615,0.014175631220617962
1,558936,0.0,0.04606549517470439,0.161,0.161,-0.11493450482529562
1,553856,0.0,0.06102188142935146,0.485,0.485,-0.42397811857064854
1,601821,0.0,0.07362224545316454,0.0375,0.0375,0.03612224545316454
1,559673,0.0,0.02480762325632122,0.0095,0.0095,0.015307623256321219
1,561231,0.0,0.038178729483583106,0.058,0.058,-0.019821270516416897
1,540819,0.0,0.04759098181351672,0.485,0.485,-0.43740901818648326
1,559658,0.0,0.03942884977032425,0.0645,0.0645,-0.02507115022967575
1,561242,0.0,0.02686398854493404,0.0075,0.0075,0.01936398854493404
1,561251,0.0,0.024390457241170383,0.0065,0.0065,0.017890457241170384
1,561994,0.0,0.024841299252704514,0.0065,0.0065,0.018341299252704515
