fold,period_idx,date,split,pnl_realized_next_step,objective,turnover_l1,risk_cov,risk_diag_equiv
203,203,2025-11-22 00:00:00+00:00,train,-0.00010135135135135136,0.05879321052023049,0.0,0.0008540052334691861,0.0008539917199556727
204,204,2025-11-23 00:00:00+00:00,train,-0.00010135135135135136,0.058674676113218596,0.0,0.0008526040809402002,0.0008525905674266867
205,205,2025-11-24 00:00:00+00:00,train,-0.00010135135135135136,0.058559246643872936,0.0,0.0008512387783207725,0.0008512252648072593
206,206,2025-11-25 00:00:00+00:00,train,-0.00010135135135135136,0.05844680392814531,0.0,0.0008499079926902428,0.0008498944791767292
207,207,2025-11-26 00:00:00+00:00,train,-0.00010135135135135136,0.05833723570211531,0.0,0.000848610456337509,0.0008485969428239955
208,208,2025-11-27 00:00:00+00:00,train,-0.00010135135135135136,0.05823043525916534,0.0,0.000847344962861986,0.0008473314493484725
209,209,2025-11-28 00:00:00+00:00,train,-0.00010135135135135136,0.05812630111338973,0.0,0.000846110363549331,0.0008460968500358177
210,210,2025-11-29 00:00:00+00:00,train,-0.00010135135135135136,0.05802473668717753,0.0,0.0008449055640011453,0.000844892050487632
211,211,2025-11-30 00:00:00+00:00,train,-0.00010135135135135136,0.0579256500208366,0.0,0.0008437295209965682,0.000843716007483055
212,212,2025-12-01 00:00:00+00:00,validation,-0.00010135135135135136,0.05782895350259378,0.0,0.0008425812395689048,0.0008425677260553914
213,213,2025-12-02 00:00:00+00:00,validation,-0.00010135135135135136,0.057734563617267275,0.0,0.0008414597702796404,0.0008414462567661267
214,214,2025-12-03 00:00:00+00:00,validation,-0.00010135135135135136,0.05763848330776052,0.0,0.0008403116736181434,0.0008402981601046298
215,215,2025-12-04 00:00:00+00:00,validation,-0.00010135135135135136,0.057544663824809925,0.0,0.0008391900869557005,0.0008391765734421867
216,216,2025-12-05 00:00:00+00:00,validation,-0.00010135135135135136,0.05745302809463376,0.0,0.000838094123865567,0.0008380806103520533
217,217,2025-12-06 00:00:00+00:00,validation,-0.00010135135135135136,0.05736350254151045,0.0,0.0008370229373781527,0.000837009423864639
218,218,2025-12-07 00:00:00+00:00,validation,-0.00010135135135135136,0.057276016893339374,0.0,0.000835975717832589,0.0008359622043190756
219,219,2025-12-08 00:00:00+00:00,validation,-0.00010135135135135136,0.057190504000060004,0.0,0.0008349516908674095,0.000834938177353896
220,220,2025-12-09 00:00:00+00:00,validation,-0.00010135135135135136,0.0571068996639945,0.0,0.0008339501155405222,0.0008339366020270084
221,221,2025-12-10 00:00:00+00:00,validation,-0.00010135135135135136,0.05702478304438467,0.0,0.0008329659776110795,0.0008329524640975661
222,222,2025-12-11 00:00:00+00:00,validation,-0.00010135135135135136,0.056944086104045236,0.0,0.000831998327020271,0.0008319848135067575
223,223,2025-12-12 00:00:00+00:00,validation,-0.00010135135135135136,0.05686455467920839,0.0,0.0008310444882369359,0.0008310309747234223
224,224,2025-12-13 00:00:00+00:00,validation,-0.00010135135135135136,0.05678674506290266,0.0,0.0008301109411549026,0.000830097427641389
225,225,2025-12-14 00:00:00+00:00,validation,-0.00010135135135135136,0.05671060375766966,0.0,0.0008291970664772976,0.0008291835529637842
226,226,2025-12-15 00:00:00+00:00,validation,-0.00010135135135135136,0.0566360795033386,0.0,0.0008283022703566795,0.000828288756843166
227,227,2025-12-16 00:00:00+00:00,validation,-0.00010135135135135136,0.05656312316328238,0.0,0.0008274259831256364,0.0008274124696121231
228,228,2025-12-17 00:00:00+00:00,validation,-0.00010135135135135136,0.0564916876176724,0.0,0.0008265676581041114,0.0008265541445905977
229,229,2025-12-18 00:00:00+00:00,validation,-0.00010135135135135136,0.05642172766314211,0.0,0.0008257267704769747,0.0008257132569634611
230,230,2025-12-19 00:00:00+00:00,validation,-0.00010135135135135136,0.05635319991847316,0.0,0.0008249028162377825,0.000824889302724269
231,231,2025-12-20 00:00:00+00:00,validation,-0.00010135135135135136,0.056286062735855416,0.0,0.0008240953111938363,0.0008240817976803227
232,232,2025-12-21 00:00:00+00:00,validation,-0.00010135135135135136,0.056220276117418914,0.0,0.0008233037900293688,0.0008232902765158553
233,233,2025-12-22 00:00:00+00:00,validation,-0.00010135135135135136,0.05615580163656603,0.0,0.0008225278054216351,0.0008225142919081215
234,234,2025-12-23 00:00:00+00:00,validation,-0.00010135135135135136,0.05609260236388852,0.0,0.0008217669272076788,0.0008217534136941654
235,235,2025-12-24 00:00:00+00:00,validation,-0.00010135135135135136,0.05603064279734125,0.0,0.0008210207415982057,0.0008210072280846923
236,236,2025-12-25 00:00:00+00:00,validation,-0.00010135135135135136,0.055969888796322406,0.0,0.0008202888504346643,0.0008202753369211509
237,237,2025-12-26 00:00:00+00:00,validation,-0.00010135135135135136,0.055910307519556765,0.0,0.0008195708704885818,0.000819557356975068
238,238,2025-12-27 00:00:00+00:00,validation,-0.00010135135135135136,0.05585186736639576,0.0,0.0008188664327987922,0.0008188529192852787
239,239,2025-12-28 00:00:00+00:00,validation,-0.00010135135135135136,0.05579453792139791,0.0,0.0008181751820451498,0.0008181616685316363
240,240,2025-12-29 00:00:00+00:00,validation,-0.00010135135135135136,0.05573828990197368,0.0,0.0008174967759563658,0.0008174832624428524
241,241,2025-12-30 00:00:00+00:00,validation,-0.00010135135135135136,0.05568309510889068,0.0,0.0008168308847497189,0.0008168173712362054
