fold,id,delta_w,w
2,561993,0.0,0.0
2,561994,0.0,0.0
2,561995,0.0,0.0
2,561996,0.0,0.0
2,561998,0.0,0.0
2,561999,0.0,0.0
2,562000,0.0,0.0
2,562001,0.0,0.0
2,562002,0.0,0.0
2,562003,0.0,0.0
2,562004,0.0,0.0
2,562005,0.0,0.0
2,562006,0.0,0.0
2,562007,0.0,0.0
2,562008,0.0,0.0
2,562186,0.0,0.0
2,562187,0.04526484502381232,0.04526484502381232
2,562188,0.0,0.0
2,562189,0.0,0.0
2,562190,0.0,0.0
2,562793,0.0,0.0
2,562794,0.024494023851006384,0.024494023851006384
2,562802,0.0,0.0
2,562803,0.0,0.0
2,562828,0.00312136924535998,0.00312136924535998
2,562829,0.0,0.0
2,562830,0.05085127503729293,0.05085127503729293
2,562831,0.0,0.0
2,562832,0.0,0.0
2,563650,0.0,0.0
2,564161,0.0,0.0
2,564162,0.0,0.0
2,564163,0.0,0.0
2,564164,0.0,0.0
2,564165,0.0,0.0
2,564166,0.0,0.0
2,564167,0.0,0.0
2,564168,0.0,0.0
2,564169,0.0,0.0
2,564170,0.0,0.0
2,564171,0.0,0.0
2,564172,0.0,0.0
2,564173,0.0,0.0
2,564174,0.0,0.0
2,564175,0.0,0.0
2,564176,0.0,0.0
2,564177,0.0,0.0
2,564178,0.0,0.0
2,564179,0.0,0.0
2,564180,0.0,0.0
2,564181,0.0,0.0
2,564183,0.0,0.0
2,564194,0.0,0.0
2,564195,0.0,0.0
2,564196,0.0,0.0
2,564197,0.0,0.0
2,564198,0.0,0.0
2,564199,0.0,0.0
2,564200,0.05748924101482336,0.05748924101482336
2,564204,0.0,0.0
2,564205,0.0,0.0
2,564208,0.0,0.0
2,564210,0.0316932785284085,0.0316932785284085
2,564211,0.0,0.0
2,564212,0.0,0.0
2,564213,0.0,0.0
2,564214,0.0,0.0
2,564215,0.0,0.0
2,564216,0.0,0.0
2,564218,0.002592841239850086,0.002592841239850086
2,564222,0.0,0.0
2,564223,0.0,0.0
3,565064,0.03885194634248782,0.03885194634248782
3,565065,0.0,0.0
3,566136,0.0,0.0
3,566137,0.0,0.0
3,566138,0.0,0.0
3,566139,0.0,0.0
3,566140,0.0,0.0
3,566142,0.0,0.0
3,566146,0.0,0.0
3,566159,0.0,0.0
3,566170,0.0,0.0
3,566186,0.0,0.0
3,566187,0.0,0.0
3,566188,0.0,0.0
3,566191,0.0,0.0
3,566193,0.0,0.0
