fold,id,weight,p_hat,c_exec,implied,edge
4,568676,0.0,0.026048668933669666,0.013,0.0125,0.013048668933669667
4,568677,0.0,0.02246805848128969,0.002,0.0015,0.020468058481289693
4,568678,0.0,0.02409264224384187,0.005,0.004,0.01909264224384187
4,568679,0.0,0.0231275464830244,0.003,0.0025,0.0201275464830244
4,568680,0.0,0.023310831359757565,0.006,0.0055,0.017310831359757563
4,568681,0.0,0.02351678101141344,0.006,0.0055,0.017516781011413442
4,568682,0.0,0.02276654479129265,0.003,0.0025,0.01976654479129265
4,568683,0.0,0.022618144910783664,0.004,0.0035,0.018618144910783663
4,568684,0.0,0.02412485647652874,0.004,0.003,0.02012485647652874
4,568685,0.0,0.02236614234248002,0.003,0.0025,0.01936614234248002
4,568686,0.0,0.022383955834619797,0.003,0.0025,0.019383955834619798
4,568687,0.0,0.024246223016132936,0.004,0.0035,0.020246223016132936
4,569332,0.0,0.025300316834388655,0.004,0.003,0.021300316834388655
4,569333,0.0,0.025165632884324433,0.004,0.003,0.021165632884324433
4,569334,0.0,0.026313217479924798,0.005,0.0035,0.021313217479924797
4,569335,0.0,0.028121915038109693,0.008,0.006,0.020121915038109693
4,569336,0.0,0.026794384258353208,0.006,0.0045,0.020794384258353206
4,569338,0.0,0.024467591519273153,0.004,0.0035,0.020467591519273153
4,569339,0.0,0.025648721055388273,0.005,0.004,0.020648721055388272
4,569340,0.0,0.02677363246177581,0.006,0.0045,0.020773632461775812
4,569341,0.0,0.02401519188459778,0.002,0.0015,0.02201519188459778
4,569342,0.0,0.05642819561379216,0.066,0.0635,-0.00957180438620784
4,569343,0.0,0.1136000314767375,0.89,0.885,-0.7763999685232625
4,569344,0.0,0.0276130120263666,0.009,0.0075,0.0186130120263666
4,569345,0.0,0.024934190995999094,0.003,0.002,0.021934190995999095
4,569346,0.0,0.023961217439237268,0.002,0.0015,0.02196121743923727
4,569347,0.0,0.02578000272900854,0.005,0.004,0.02078000272900854
4,569348,0.0,0.02558356745695039,0.004,0.003,0.02158356745695039
4,569349,0.0,0.02403652502981976,0.002,0.0015,0.02203652502981976
4,569356,0.0,0.02193883373815733,0.001,0.0005,0.02093883373815733
4,569357,0.0,0.022447929418964008,0.002,0.0015,0.020447929418964006
4,569358,0.0,0.023815450046358256,0.004,0.0035,0.019815450046358256
4,569359,0.0,0.021768783288703943,0.001,0.0005,0.02076878328870394
4,569360,0.0,0.023990488236164367,0.004,0.003,0.019990488236164367
4,569362,0.0,0.02186644459479981,0.001,0.0005,0.020866444594799808
4,569363,0.0,0.02619116862174782,0.007,0.0055,0.01919116862174782
4,569364,0.0,0.02170696142418489,0.001,0.0005,0.020706961424184888
4,569365,0.0,0.023062153489531185,0.003,0.0025,0.020062153489531186
4,569366,0.0,0.16302358300998537,0.16,0.155,0.00302358300998537
4,569367,0.0,0.021747026383563073,0.001,0.0005,0.020747026383563072
4,569368,0.0749881711013521,0.5910430926539919,0.45,0.445,0.1410430926539919
4,569369,0.0,0.021800197753763958,0.001,0.0005,0.020800197753763957
4,569370,0.0,0.02289357123255086,0.003,0.0025,0.01989357123255086
4,569371,0.0,0.021881470803882305,0.001,0.0005,0.020881470803882304
4,569372,0.0,0.021951539205016565,0.001,0.0005,0.020951539205016564
4,569373,0.08,0.5852880965719154,0.393,0.386,0.19228809657191537
4,569374,0.0,0.025463330372938648,0.005,0.004,0.020463330372938647
4,569454,0.0062645743322286215,0.20567847925923144,0.15,0.14,0.055678479259231445
4,572110,0.0,0.05338527286456604,0.034,0.027,0.01938527286456604
4,572111,0.0,0.029305798462064707,0.008,0.0055,0.021305798462064707
4,572112,0.0,0.025147683231356424,0.004,0.0035,0.021147683231356424
4,572114,0.0,0.05431335436496418,0.03,0.0215,0.02431335436496418
4,572115,0.0,0.029850127367844963,0.009,0.0065,0.020850127367844966
4,572116,0.0,0.026422971253591877,0.005,0.0035,0.021422971253591876
4,572117,0.0,0.025613419774830105,0.004,0.003,0.021613419774830105
4,572118,0.0,0.024963780044845257,0.004,0.0035,0.020963780044845257
4,572119,0.0,0.034395011167246546,0.024,0.022,0.010395011167246546
4,572121,0.013435112964621073,0.23392077140922835,0.2,0.195,0.033920771409228334
4,572122,0.0,0.027475928493698464,0.008,0.007,0.019475928493698464
4,572123,0.0,0.028452323885769373,0.006,0.004,0.02245232388576937
4,572124,0.0,0.02471042725211286,0.002,0.0015,0.022710427252112857
4,572125,0.0,0.02947798850651774,0.01,0.0085,0.01947798850651774
4,572133,0.0,0.45905884371881106,0.69,0.685,-0.2309411562811889
4,572732,0.0,0.030600971860814556,0.01,0.007,0.020600971860814554
4,572733,0.0,0.10917835086438399,0.11,0.105,-0.0008216491356160122
4,572734,0.0,0.3059755405507864,0.82,0.81,-0.5140244594492136
4,572735,0.0,0.02635026944790842,0.006,0.0045,0.020350269447908423
4,572736,0.0,0.02558097100809185,0.004,0.003,0.02158097100809185
4,572737,0.0,0.05320714300816337,0.043,0.0375,0.010207143008163375
4,572739,0.0,0.028821260949442606,0.014,0.013,0.014821260949442605
4,572741,0.0,0.023940557676149787,0.002,0.0015,0.02194055767614979
4,572742,0.0,0.024690119383592796,0.003,0.0025,0.021690119383592797
4,572743,0.0,0.024101727716185496,0.002,0.0015,0.022101727716185494
4,572744,0.0,0.023295124117630253,0.001,0.0005,0.022295124117630252
4,572747,0.0,0.024455707368758416,0.002,0.0015,0.022455707368758418
4,572748,0.0,0.03242287860641989,0.011,0.0075,0.02142287860641989
4,572751,0.0,0.024367196980125967,0.002,0.0015,0.022367196980125965
4,572765,0.07624605759252553,0.9668606321588495,0.25,0.185,0.7168606321588495
4,572766,0.0,0.03450663025274683,0.011,0.007,0.023506630252746828
4,572767,0.0,0.045315871285294546,0.029,0.025,0.016315871285294544
4,572768,0.021261827222423414,0.11728502458079959,0.049,0.032,0.06828502458079959
4,572769,0.0,0.029562120478046825,0.006,0.004,0.023562120478046823
